"","T","ChosenArm","Reward","CumulativeReward"
"1",1,2,0,0
"2",2,2,0,0
"3",3,1,0,0
"4",4,1,0,0
"5",5,2,0,0
"6",6,2,0,0
"7",7,2,0,0
"8",8,1,0,0
"9",9,2,0,0
"10",10,1,0,0
"11",11,1,0,0
"12",12,1,0,0
"13",13,1,0,0
"14",14,2,0,0
"15",15,2,0,0
"16",16,1,0,0
"17",17,1,0,0
"18",18,1,0,0
"19",19,1,0,0
"20",20,2,0,0
"21",21,2,0,0
"22",22,2,0,0
"23",23,2,0,0
"24",24,1,0,0
"25",25,1,0,0
"26",26,1,0,0
"27",27,2,0,0
"28",28,1,0,0
"29",29,2,0,0
"30",30,2,0,0
"31",31,2,0,0
"32",32,2,0,0
"33",33,2,0,0
"34",34,2,0,0
"35",35,2,0,0
"36",36,2,0,0
"37",37,2,0,0
"38",38,1,0,0
"39",39,2,0,0
"40",40,1,0,0
"41",41,2,0,0
"42",42,2,0,0
"43",43,1,0,0
"44",44,2,0,0
"45",45,2,0,0
"46",46,2,0,0
"47",47,1,0,0
"48",48,2,0,0
"49",49,2,0,0
"50",50,1,0,0
"51",51,1,0,0
"52",52,2,0,0
"53",53,2,0,0
"54",54,1,0,0
"55",55,2,0,0
"56",56,1,0,0
"57",57,2,0,0
"58",58,1,0,0
"59",59,1,0,0
"60",60,2,0,0
"61",61,2,0,0
"62",62,2,0,0
"63",63,2,0,0
"64",64,2,0,0
"65",65,1,0,0
"66",66,2,0,0
"67",67,2,0,0
"68",68,1,0,0
"69",69,2,0,0
"70",70,1,0,0
"71",71,1,0,0
"72",72,1,0,0
"73",73,1,0,0
"74",74,1,0,0
"75",75,1,0,0
"76",76,2,0,0
"77",77,2,0,0
"78",78,2,0,0
"79",79,2,0,0
"80",80,2,0,0
"81",81,2,0,0
"82",82,2,0,0
"83",83,1,0,0
"84",84,2,0,0
"85",85,1,0,0
"86",86,1,0,0
"87",87,2,0,0
"88",88,2,0,0
"89",89,1,0,0
"90",90,2,0,0
"91",91,1,0,0
"92",92,1,0,0
"93",93,1,0,0
"94",94,1,0,0
"95",95,1,0,0
"96",96,1,0,0
"97",97,2,1,1
"98",98,2,0,1
"99",99,1,0,1
"100",100,2,0,1
